"Base Gene ID","Manuscript Gene ID","Manuscript Transcript ID","Genome Portal Gene ID","Genome Portal Transcript ID"
"G000054","HVAEP1_G000054","HVAEP1_T000054.1","HVAEP1.G000054","HVAEP1.T000054.1"
"G000054","HVAEP1_G000054","HVAEP1_T000054.2","HVAEP1.G000054","HVAEP1.T000054.2"
"G000055","HVAEP1_G000055","HVAEP1_T000055.1","HVAEP1.G000055","HVAEP1.T000055.1"
"G000056","HVAEP1_G000056","HVAEP1_T000056.1","HVAEP1.G000056","HVAEP1.T000056.1"
"G000056","HVAEP1_G000056","HVAEP1_T000056.2","HVAEP1.G000056","HVAEP1.T000056.2"
"G000057","HVAEP1_G000057","HVAEP1_T000057.1","HVAEP1.G000057","HVAEP1.T000057.1"
"G000058","HVAEP1_G000058","HVAEP1_T000058.1","HVAEP1.G000058","HVAEP1.T000058.1"
"G000059","HVAEP1_G000059","HVAEP1_T000059.1","HVAEP1.G000059","HVAEP1.T000059.1"
"G000060","HVAEP1_G000060","HVAEP1_T000060.1","HVAEP1.G000060","HVAEP1.T000060.1"
"G000061","HVAEP1_G000061","HVAEP1_T000061.1","HVAEP1.G000061","HVAEP1.T000061.1"
"G000062","HVAEP1_G000062","HVAEP1_T000062.1","HVAEP1.G000062","HVAEP1.T000062.1"
"G000063","HVAEP1_G000063","HVAEP1_T000063.1","HVAEP1.G000063","HVAEP1.T000063.1"
"G000064","HVAEP1_G000064","HVAEP1_T000064.1","HVAEP1.G000064","HVAEP1.T000064.1"
"G000065","HVAEP1_G000065","HVAEP1_T000065.1","HVAEP1.G000065","HVAEP1.T000065.1"
"G000066","HVAEP1_G000066","HVAEP1_T000066.1","HVAEP1.G000066","HVAEP1.T000066.1"
"G000067","HVAEP1_G000067","HVAEP1_T000067.1","HVAEP1.G000067","HVAEP1.T000067.1"
"G000067","HVAEP1_G000067","HVAEP1_T000067.2","HVAEP1.G000067","HVAEP1.T000067.2"
